Mice,Age,DBD,SmurfDIM1
1,,-109,NS
1,4.8,-63,NS
1,5.8,-33,NS
1,6.4,-14,S
2,,-186,NS
2,4.8,-140,NS
2,5.8,-110,NS
2,6.4,-91,NS
2,7.4,-62,NS
2,8.2,-36,NS
2,8.8,-20,S
2,9.4,-1,S
3,,-251,NS
3,,-230,NS
3,,-204,NS
3,,-155,NS
3,,-126,NS
3,,-100,NS
3,,-85,NS
3,,-65,NS
3,,-51,NS
3,,-34,NS
3,,-16,NS
3,,-7,S
4,,-166,NS
4,4.8,-120,NS
4,5.8,-90,NS
4,6.4,-71,NS
4,7.4,-42,NS
4,8.2,-16,NS
5,,-166,NS
5,4.8,-120,NS
5,5.8,-90,NS
5,6.4,-71,NS
5,7.4,-42,NS
5,8.2,-16,S
5,8.8,0,S
6,,-155,NS
6,4.8,-69,NS
6,5.8,-39,NS
6,6.4,-20,NS
7,,-251,NS
7,,-230,NS
7,,-204,NS
7,,-155,NS
7,,-126,NS
7,,-100,NS
7,,-85,NS
7,,-65,NS
7,,-51,NS
7,,-34,NS
7,,-16,NS
7,,-7,NS
8,,-178,NS
8,4.8,-132,NS
8,5.8,-102,NS
8,6.4,-83,NS
8,7.4,-54,NS
8,8.2,-28,S
8,8.8,-12,S
9,,-119,NS
9,4.8,-73,NS
9,5.8,-43,NS
9,6.4,-24,NS
10,,-166,NS
10,4.8,-120,NS
10,5.8,-90,NS
10,6.4,-71,NS
10,7.4,-42,NS
10,8.2,-16,S
11,,-145,NS
11,4.8,-99,NS
11,5.8,-69,NS
11,6.4,-50,NS
11,7.4,-21,S
12,,-252,NS
12,,-231,NS
12,,-205,NS
12,,-156,NS
12,,-127,NS
12,,-101,NS
12,,-86,NS
12,,-66,NS
12,,-52,NS
12,,-35,NS
12,,-17,NS
12,,-8,S
13,,-252,NS
13,,-231,NS
13,,-205,NS
13,,-156,NS
13,,-127,NS
13,,-101,NS
13,,-86,NS
13,,-66,NS
13,,-52,NS
13,,-35,NS
13,,-17,NS
13,,-8,S
14,,-252,NS
14,,-231,NS
14,,-205,NS
14,,-156,NS
14,,-127,NS
14,,-101,NS
14,,-86,NS
14,,-66,NS
14,,-52,NS
14,,-35,NS
14,,-17,NS
14,,-8,S
15,,-178,NS
15,4.8,-132,NS
15,5.8,-102,NS
15,6.4,-83,NS
15,7.4,-54,NS
15,8.2,-28,S
15,8.8,-12,S
16,,-290,NS
16,4.6,-244,NS
16,5.6,-214,NS
16,6.2,-195,NS
16,7.1,-166,NS
16,8,-140,NS
16,8.5,-124,NS
16,9.1,-105,NS
16,9.6,-90,NS
16,10.2,-73,NS
16,10.8,-55,NS
16,11.1,-46,NS
16,11.7,-28,NS
16,12.2,-13,NS
16,12.6,0,S
17,,-213,NS
17,4.6,-167,NS
17,5.6,-137,NS
17,6.2,-118,NS
17,7.1,-89,NS
17,8,-63,NS
17,8.5,-47,NS
17,9.1,-28,NS
17,9.6,-13,S
18,,-257,NS
18,4.6,-211,NS
18,5.6,-181,NS
18,6.2,-162,NS
18,7.1,-133,NS
18,8,-107,NS
18,8.5,-91,NS
18,9.1,-72,NS
18,9.6,-57,NS
18,10.2,-40,NS
18,10.8,-22,NS
18,11.1,-13,S
19,,-213,NS
19,4.6,-167,NS
19,5.6,-137,NS
19,6.2,-118,NS
19,7.1,-89,NS
19,8,-63,NS
19,8.5,-47,NS
19,9.1,-28,NS
19,9.6,-13,NS
20,,-209,NS
20,4.6,-163,NS
20,5.6,-133,NS
20,6.2,-114,NS
20,7.1,-85,NS
20,8,-59,NS
20,8.5,-43,NS
20,9.1,-24,NS
20,9.6,-9,S
21,,-153,NS
21,4.6,-107,NS
21,5.6,-77,NS
21,6.2,-58,NS
21,7.1,-29,S
21,8,-3,S
22,,-277,NS
22,4.6,-231,NS
22,5.6,-201,NS
22,6.2,-182,NS
22,7.1,-153,NS
22,8,-127,NS
22,8.5,-111,NS
22,9.1,-92,NS
22,9.6,-77,NS
22,10.2,-60,NS
22,10.8,-42,NS
22,11.1,-33,NS
22,11.7,-15,NS
23,,-342,NS
23,4.6,-296,NS
23,5.6,-266,NS
23,6.2,-247,NS
23,7.1,-218,NS
23,8,-192,NS
23,8.5,-176,NS
23,9.1,-157,NS
23,9.6,-142,NS
23,10.2,-125,NS
23,10.8,-107,NS
23,11.1,-98,NS
23,11.7,-80,NS
23,12.2,-65,NS
23,12.6,-52,NS
23,13.3,-29,NS
23,14.1,-7,S
24,,-262,NS
24,4.6,-216,NS
24,5.6,-186,NS
24,6.2,-167,NS
24,7.1,-138,NS
24,8,-112,NS
24,8.5,-96,NS
24,9.1,-77,NS
24,9.6,-62,NS
24,10.2,-45,NS
24,10.8,-27,NS
24,11.1,-18,S
24,11.7,0,S
25,,-198,NS
25,4.6,-152,NS
25,5.6,-122,NS
25,6.2,-103,NS
25,7.1,-74,NS
25,8,-48,NS
25,8.5,-32,NS
25,9.1,-13,S
26,,-322,NS
26,4.6,-276,NS
26,5.6,-246,NS
26,6.2,-227,NS
26,7.1,-198,NS
26,8,-172,NS
26,8.5,-156,NS
26,9.1,-137,NS
26,9.6,-122,NS
26,10.2,-105,NS
26,10.8,-87,NS
26,11.1,-78,NS
26,11.7,-60,NS
26,12.2,-45,NS
26,12.6,-32,NS
26,13.3,-9,S
27,,-69,NS
27,,-48,NS
28,,-277,NS
28,4.6,-231,NS
28,5.6,-201,NS
28,6.2,-182,NS
28,7.1,-153,NS
28,8,-127,NS
28,8.5,-111,NS
28,9.1,-92,NS
28,9.6,-77,NS
28,10.2,-60,NS
28,10.8,-42,NS
28,11.1,-33,NS
28,11.7,-15,S
28,12.2,0,S
29,,-189,NS
29,4.6,-143,NS
29,5.6,-113,NS
29,6.2,-94,NS
29,7.1,-65,NS
29,8,-39,NS
29,8.5,-23,S
29,9.1,-4,S
30,,-262,NS
30,4.6,-216,NS
30,5.6,-186,NS
30,6.2,-167,NS
30,7.1,-138,NS
30,8,-112,NS
30,8.5,-96,NS
30,9.1,-77,NS
30,9.6,-62,NS
30,10.2,-45,NS
30,10.8,-27,S
30,11.1,-18,NS
30,11.7,0,S
31,,-370,NS
31,4.4,-324,NS
31,5.3,-294,NS
31,6,-275,NS
31,6.9,-246,NS
31,7.8,-220,NS
31,8.3,-204,NS
31,8.9,-185,NS
31,9.4,-170,NS
31,10,-153,NS
31,10.6,-135,NS
31,10.9,-126,NS
31,11.4,-108,NS
31,11.9,-93,NS
31,12.4,-80,NS
31,13.1,-57,NS
31,13.8,-35,NS
31,14.5,-15,S
32,,-277,NS
32,4.4,-231,NS
32,5.3,-201,NS
32,6,-182,NS
32,6.9,-153,NS
32,7.8,-127,NS
32,8.3,-111,NS
32,8.9,-92,NS
32,9.4,-77,NS
32,10,-60,NS
32,10.6,-42,NS
32,10.9,-33,NS
32,11.4,-15,NS
32,11.9,0,S
33,,-324,NS
33,4.4,-278,NS
33,5.3,-248,NS
33,6,-229,NS
33,6.9,-200,NS
33,7.8,-174,NS
33,8.3,-158,NS
33,8.9,-139,NS
33,9.4,-124,NS
33,10,-107,NS
33,10.6,-89,NS
33,10.9,-80,NS
33,11.4,-62,NS
33,11.9,-47,NS
33,12.4,-34,NS
33,13.1,-11,S
34,,-230,NS
34,4.4,-184,NS
34,5.3,-154,NS
34,6,-135,NS
34,6.9,-106,NS
34,7.8,-80,NS
34,8.3,-64,NS
34,8.9,-45,NS
34,9.4,-30,NS
34,10,-13,S
35,,-146,NS
35,4.4,-100,NS
35,5.3,-70,NS
35,6,-51,NS
35,6.9,-22,NS
36,,-307,NS
36,4.4,-261,NS
36,5.3,-231,NS
36,6,-212,NS
36,6.9,-183,NS
36,7.8,-157,NS
36,8.3,-141,NS
36,8.9,-122,NS
36,9.4,-107,NS
36,10,-90,NS
36,10.6,-72,NS
36,10.9,-63,NS
36,11.4,-45,NS
36,11.9,-30,NS
36,12.4,-17,S
37,,-233,NS
37,4.4,-187,NS
37,5.3,-157,NS
37,6,-138,NS
37,6.9,-109,NS
37,7.8,-83,NS
37,8.3,-67,NS
37,8.9,-48,NS
37,9.4,-33,S
37,10,-16,S
38,,-146,NS
38,4.4,-100,NS
38,5.3,-70,NS
38,6,-51,NS
38,6.9,-22,NS
39,,-377,NS
39,4.4,-331,NS
39,5.3,-301,NS
39,6,-282,NS
39,6.9,-253,NS
39,7.8,-227,NS
39,8.3,-211,NS
39,8.9,-192,NS
39,9.4,-177,NS
39,10,-160,NS
39,10.6,-142,NS
39,10.9,-133,NS
39,11.4,-115,NS
39,11.9,-100,NS
39,12.4,-87,S
39,13.1,-64,NS
39,13.8,-42,NS
39,14.5,-22,S
39,15.2,0,S
40,,-189,NS
40,4.4,-143,NS
40,5.3,-113,NS
40,6,-94,NS
40,6.9,-65,NS
40,7.8,-39,NS
40,8.3,-23,NS
40,8.9,-4,S
41,,-277,NS
41,4.4,-231,NS
41,5.3,-201,NS
41,6,-182,NS
41,6.9,-153,NS
41,7.8,-127,NS
41,8.3,-111,NS
41,8.9,-92,NS
41,9.4,-77,NS
41,10,-60,NS
41,10.6,-42,NS
41,10.9,-33,NS
41,11.4,-15,S
42,,-235,NS
42,4.4,-189,NS
42,5.3,-159,NS
42,6,-140,NS
42,6.9,-111,NS
42,7.8,-85,NS
42,8.3,-69,NS
42,8.9,-50,NS
42,9.4,-35,NS
42,10,-18,S
42,10.6,0,S
43,,-136,NS
43,4.4,-90,NS
43,5.3,-60,NS
43,6,-41,NS
43,6.9,-12,S
44,,-225,NS
44,4.4,-179,NS
44,5.3,-149,NS
44,6,-130,NS
44,6.9,-101,NS
44,7.8,-75,NS
44,8.3,-59,NS
44,8.9,-40,NS
44,9.4,-25,NS
44,10,-8,S
45,,-377,NS
45,4.4,-331,NS
45,5.3,-301,NS
45,6,-282,NS
45,6.9,-253,NS
45,7.8,-227,NS
45,8.3,-211,NS
45,8.9,-192,NS
45,9.4,-177,NS
45,10,-160,NS
45,10.6,-142,NS
45,10.9,-133,NS
45,11.4,-115,NS
45,11.9,-100,NS
45,12.4,-87,NS
45,13.1,-64,S
45,13.8,-42,S
45,14.5,-22,S
46,,-213,NS
