"","mice","date_expe","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P1","P3","Dim.1","STATUS"
"1",1,2019-03-01,101,"3.1",109,"under31",28.4,NA,NA,NA,143,11.611,7.09,0.0503988787292871,"NS"
"2",1,2019-03-22,122,"3.8",88,"under31",29.3,NA,NA,NA,163,10.47,7.128,1.15859709887917,"NS"
"3",1,2019-04-17,148,"4.6",62,"under31",32.6,NA,8.49,NA,136,10.602,7.987,0.906418288527789,"NS"
"4",1,2019-06-05,197,"6.2",13,"above31",31.9,35.2,2.126,0.06678,113,11.563,23.699,-2.47231923638085,"S"
"5",2,2019-03-01,101,"3.1",186,"under31",26.7,NA,NA,NA,173,9.973,5.419,1.21863655372636,"NS"
"6",2,2019-03-22,122,"3.8",165,"under31",27.59,NA,NA,NA,174,10.129,7.448,1.39566301624341,"NS"
"7",2,2019-04-17,148,"4.6",139,"under31",28.3,NA,5.02,NA,133,9.659,6.711,-0.264247531363751,"NS"
"8",2,2019-06-05,197,"6.2",90,"under31",28.9,37.7,4.813,NA,144,10.562,8.217,0.271348963123218,"NS"
"9",2,2019-07-04,226,"7.2",61,"under31",30.9,37.2,4.384,NA,134,10,7.59,-0.0406844574198953,"NS"
"10",2,2019-07-30,252,"8.0",35,"under31",31.7,37.2,2.565,11.26356,137,12.461,7.045,-0.129268210064896,"NS"
"11",2,2019-08-14,267,"8.5",20,"above31",27,35.9,NA,NA,105,NA,7.333,-2.14657582642789,"S"
"12",2,2019-09-03,287,"9.2",0,"above31",23.7,33.8,NA,NA,44,NA,NA,-6.27340613356694,"S"
"13",4,2019-03-01,101,"3.1",166,"under31",27.4,NA,NA,NA,149,9.357,5.947,0.204417233401957,"NS"
"14",4,2019-03-22,122,"3.8",145,"under31",27.6,NA,NA,NA,169,12.304,6.625,1.14103868671658,"NS"
"15",4,2019-04-17,148,"4.6",119,"under31",32.1,NA,2.75,NA,136,9.847,7.273,-0.348545483773061,"NS"
"16",4,2019-06-05,197,"6.2",70,"under31",33.3,37.9,4.744,12.4127325,125,12.156,6.704,0.428360434864986,"NS"
"17",4,2019-07-04,226,"7.2",41,"under31",33.6,36.7,5.572,NA,131,12.509,7.428,0.137142282502408,"NS"
"18",4,2019-07-30,252,"8.0",15,"above31",34.4,36.8,5.71,NA,131,15.274,8.391,0.223797437430356,"NS"
"19",5,2019-03-01,101,"3.1",166,"under31",27.6,NA,NA,NA,146,6.692,5.602,0.131343131268518,"NS"
"20",5,2019-03-22,122,"3.8",145,"under31",29.15,NA,NA,NA,172,36.139,7.181,1.24393154342991,"NS"
"21",5,2019-04-17,148,"4.6",119,"under31",34.3,NA,8.5,NA,151,11.221,7.507,1.63337092316036,"NS"
"22",5,2019-06-05,197,"6.2",70,"under31",37.4,37.5,4.921,NA,144,13.345,7.755,0.926680816443993,"NS"
"23",5,2019-07-04,226,"7.2",41,"under31",37.3,38.4,9.148,13.85685,136,17.247,10.133,1.7956472109951,"NS"
"24",5,2019-07-30,252,"8.0",15,"above31",27.1,35.3,0.94,0,91,13.887,16.82,-3.34732204828913,"S"
"25",5,2019-08-14,267,"8.5",0,"above31",21.4,34.5,NA,NA,65,NA,33.51,-5.4381369868073,"S"
"26",6,2019-03-01,101,"3.1",115,"under31",28.4,NA,NA,NA,157,10.514,6.627,0.728989687709105,"NS"
"27",6,2019-03-22,122,"3.8",94,"under31",27.8,NA,NA,NA,147,10.506,7.726,0.148089278934101,"NS"
"28",6,2019-04-17,148,"4.6",68,"under31",29.3,NA,9.87,NA,135,10.85,6.799,0.919012673488515,"NS"
"29",6,2019-06-05,197,"6.2",19,"above31",33.1,38,6.648,9.6246675,133,11.522,8.713,0.556128358233603,"NS"
"30",8,2019-03-01,101,"3.1",178,"under31",33.5,NA,NA,NA,160,3.414,7.74,1.79657815396144,"NS"
"31",8,2019-03-22,122,"3.8",157,"under31",34.2,NA,NA,NA,174,11.916,7.394,2.47297736084067,"NS"
"32",8,2019-04-17,148,"4.6",131,"under31",33.4,NA,11.38,NA,144,11.394,7.245,1.90443454173743,"NS"
"33",8,2019-06-05,197,"6.2",82,"under31",36.7,37.7,8.608,NA,136,10.742,9.109,1.47976088619888,"NS"
"34",8,2019-07-04,226,"7.2",53,"under31",38.4,36.7,10.585,NA,129,10.612,7.283,1.49522010180698,"NS"
"35",8,2019-07-30,252,"8.0",27,"above31",37.8,37,1.165,5.52048,131,14.739,10.796,-0.725236773402285,"NS"
"36",8,2019-08-14,267,"8.5",12,"above31",29,32.5,NA,NA,91,NA,22.499,-3.65599368591396,"S"
"37",9,2019-03-01,101,"3.1",119,"under31",29.2,NA,NA,NA,140,10.924,6.873,0.0518011143875293,"NS"
"38",9,2019-03-22,122,"3.8",98,"under31",31.4,NA,NA,NA,176,9.67,7.169,2.13134817841605,"NS"
"39",9,2019-04-17,148,"4.6",72,"under31",34.5,NA,NA,13.6899,144,9.337,7.139,1.33696476355117,"NS"
"40",9,2019-06-05,197,"6.2",23,"above31",36.8,36.7,6.167,NA,140,14.662,9.56,0.697645063210614,"NS"
"41",10,2019-03-01,101,"3.1",166,"under31",28.6,NA,NA,NA,159,16.883,6.253,0.78168444312763,"NS"
"42",10,2019-03-22,122,"3.8",145,"under31",28.3,NA,NA,NA,158,10.324,6.473,0.76317407652605,"NS"
"43",10,2019-04-17,148,"4.6",119,"under31",28.8,NA,8.36,NA,131,9.795,6.748,0.408911982206276,"NS"
"44",10,2019-06-05,197,"6.2",70,"under31",33.3,38.1,8.99,18.26433,147,11.902,11.346,2.1153495548546,"NS"
"45",10,2019-07-04,226,"7.2",41,"under31",34.9,36.5,5.997,NA,140,11.478,7.207,0.488868573505572,"NS"
"46",10,2019-07-30,252,"8.0",15,"above31",18.4,29,0.939,0,73,7.301,13.79,-5.8813652045984,"S"
"47",11,2019-03-01,101,"3.1",145,"under31",32.3,NA,NA,NA,136,20.105,20.235,0.158607235536913,"NS"
"48",11,2019-03-22,122,"3.8",124,"under31",35.3,NA,NA,NA,189,12.678,6.707,3.36068267607753,"NS"
"49",11,2019-04-17,148,"4.6",98,"under31",39.8,NA,7.612,10.968615,153,11.181,6.68,1.50727979166022,"NS"
"50",11,2019-06-05,197,"6.2",49,"under31",39.1,37.2,7.125,NA,141,8.995,7.951,1.37661439737795,"NS"
"51",11,2019-07-04,226,"7.2",20,"above31",24.3,35.5,1.254,0,68,11.052,10.666,-3.77781728165926,"S"
"52",15,2019-03-01,101,"3.1",178,"under31",27.7,NA,NA,NA,155,9.255,7.094,0.529823115691399,"NS"
"53",15,2019-03-22,122,"3.8",157,"under31",29.8,NA,NA,NA,166,10.324,8.467,1.37451279698767,"NS"
"54",15,2019-04-17,148,"4.6",131,"under31",31.8,NA,NA,14.674905,146,10.078,7.66,1.22827828016784,"NS"
"55",15,2019-06-05,197,"6.2",82,"under31",32.5,NA,6.154,11.2607775,127,10.812,9.244,0.178472708796228,"NS"
"56",15,2019-07-04,226,"7.2",53,"under31",36.2,37.4,7.994,NA,158,11.636,7.083,1.73379661658478,"NS"
"57",15,2019-07-30,252,"8.0",27,"above31",33,30.3,3.459,0.016695,116,11.257,24.366,-3.4381128856654,"S"
"58",15,2019-08-14,267,"8.5",12,"above31",20.2,30,NA,NA,28,NA,34.514,-8.54889927469813,"S"
"59",16,2019-03-01,94,"3.1",290,"under31",25.9,NA,NA,NA,146,7.956,6.015,-0.170042911991077,"NS"
"60",16,2019-03-22,115,"3.8",269,"under31",29.2,NA,NA,NA,133,9.249,6.099,-0.252196051701635,"NS"
"61",16,2019-04-17,141,"4.6",243,"under31",30.6,NA,2.763,12.4795125,157,9.693,6.303,0.522011682797424,"NS"
"62",16,2019-06-05,190,"6.2",194,"under31",32.2,38.2,5.021,11.636415,136,11.887,7.767,0.569695506200056,"NS"
"63",16,2019-07-04,219,"7.2",165,"under31",33.2,37,6.396,NA,145,9.421,8.63,0.733612979981014,"NS"
"64",16,2019-07-30,245,"8.0",139,"under31",33.5,37.2,8.668,18.56484,146,12.788,25.626,1.73582337999694,"NS"
"65",16,2019-08-14,260,"8.5",124,"under31",31.1,37.5,NA,NA,128,NA,7.128,-0.0573658053760112,"NS"
"66",16,2019-09-03,280,"9.2",104,"under31",34.2,38,4.911,10.2396,129,10.812,7.458,0.389069577635198,"NS"
"67",16,2019-09-17,294,"9.5",90,"under31",29,37.3,NA,NA,143,NA,6.816,0.154197880479096,"NS"
"68",16,2019-10-04,311,"10.1",73,"under31",33.5,36,6.224,10.07265,143,11.837,7.706,0.220777541288971,"NS"
"69",16,2019-10-22,329,"10.7",55,"under31",31.6,37.5,NA,NA,133,NA,6.666,0.230616800770835,"NS"
"70",16,2019-10-31,338,"11.0",46,"under31",34.8,37.1,6.704,8.77044,135,33.272,21.821,0.0531902296936598,"NS"
"71",16,2019-11-18,356,"11.6",28,"above31",32.1,37.7,NA,NA,127,NA,13.47,0.042228871805702,"NS"
"72",16,2019-12-03,371,"12.0",13,"above31",31,37.3,NA,NA,135,10.265,7.535,0.255681984115387,"NS"
"73",16,2019-12-16,384,"12.5",0,"above31",22,30.8,NA,NA,20,NA,NA,-8.57096450639199,"S"
"74",17,2019-03-01,94,"3.1",213,"under31",26.2,NA,NA,NA,143,10.358,7.234,-0.301106848951644,"NS"
"75",17,2019-03-22,115,"3.8",192,"under31",27.7,NA,NA,NA,145,11.584,8.079,0.0209386800291833,"NS"
"76",17,2019-04-17,141,"4.6",166,"under31",27,NA,2.305,NA,137,9.225,7.962,-0.79378399622569,"NS"
"77",17,2019-06-05,190,"6.2",117,"under31",31.6,NA,5.333,14.1990975,151,15.501,7.606,1.02335005912454,"NS"
"78",17,2019-07-04,219,"7.2",88,"under31",32.6,38.2,6.243,1.69176,144,8.807,6.568,-0.116083553844574,"NS"
"79",17,2019-07-30,245,"8.0",62,"under31",31.7,37.2,5.155,9.2379,129,11.106,6.621,-0.0779099609475391,"NS"
"80",17,2019-08-14,260,"8.5",47,"under31",26.9,36.6,NA,NA,146,NA,7.578,-0.289818866684513,"NS"
"81",17,2019-09-03,280,"9.2",27,"above31",27.8,38.1,3.91,NA,111,10.483,6.912,-0.623609818695562,"NS"
"82",17,2019-09-17,294,"9.5",13,"above31",21.4,35.3,NA,NA,119,NA,8.318,-2.67741989822183,"S"
"83",18,2019-03-01,94,"3.1",257,"under31",25,NA,NA,NA,145,8.076,9.209,-0.393949480033249,"NS"
"84",18,2019-03-22,115,"3.8",236,"under31",28.6,NA,NA,NA,170,9.451,6.49,1.3905528001957,"NS"
"85",18,2019-04-17,141,"4.6",210,"under31",27.5,NA,NA,12.504555,139,9.483,6.236,0.154355660282129,"NS"
"86",18,2019-06-05,190,"6.2",161,"under31",31,35,3.763,12.96645,131,10.069,8.508,-0.485603359850824,"NS"
"87",18,2019-07-04,219,"7.2",132,"under31",31.9,38.5,6.62,11.77554,148,8.19,7.217,1.13944361507588,"NS"
"88",18,2019-07-30,245,"8.0",106,"under31",32.7,36.5,6.859,17.8386075,137,11.565,6.227,1.1465558092605,"NS"
"89",18,2019-08-14,260,"8.5",91,"under31",28.4,36.8,NA,NA,135,NA,6.031,-0.411504639006898,"NS"
"90",18,2019-09-03,280,"9.2",71,"under31",32.2,36.3,5.004,11.92023,124,13.714,7.677,-0.133294540132915,"NS"
"91",18,2019-09-17,294,"9.5",57,"under31",28.3,37.8,NA,NA,134,NA,7.164,-0.169117803674404,"NS"
"92",18,2019-10-04,311,"10.1",40,"under31",32.9,36.9,5.701,11.96475,152,10.852,8.22,0.704716871408607,"NS"
"93",18,2019-10-22,329,"10.7",22,"above31",31,37.3,NA,NA,123,NA,6.651,-0.331858241852513,"NS"
"94",18,2019-10-31,338,"11.0",13,"above31",34.3,37.4,0.99,0,136,23.792,NA,-1.42604375767094,"S"
"95",19,2019-03-01,94,"3.1",213,"under31",24.8,NA,NA,NA,154,8.376,8.108,0.00315966205775609,"NS"
"96",19,2019-03-22,115,"3.8",192,"under31",29.1,NA,NA,NA,153,10.728,6.756,0.652711922075807,"NS"
"97",19,2019-04-17,141,"4.6",166,"under31",29.9,NA,4.84,NA,150,10.947,7.202,0.478252501573724,"NS"
"98",19,2019-06-05,190,"6.2",117,"under31",31.8,38.6,5.583,9.44937,154,9.761,8.082,0.827818463093327,"NS"
"99",19,2019-07-04,219,"7.2",88,"under31",31.4,37,4.541,12.07605,147,10.842,7.481,0.373497517685048,"NS"
"100",19,2019-07-30,245,"8.0",62,"under31",31,36.7,5.287,13.21131,128,10.249,8.137,0.1708926511844,"NS"
"101",19,2019-08-14,260,"8.5",47,"under31",28.6,36.9,NA,NA,150,NA,7.471,0.239094009830942,"NS"
"102",19,2019-09-03,280,"9.2",27,"above31",30,38.4,1.918,11.76441,138,8.522,7.449,0.0747543920919899,"NS"
"103",19,2019-09-17,294,"9.5",13,"above31",28.6,37.3,NA,NA,114,NA,10.25,-1.1261491335376,"S"
"104",20,2019-03-01,94,"3.1",209,"under31",28.2,NA,NA,NA,140,8.868,7.399,-0.0934498547706417,"NS"
"105",20,2019-03-22,115,"3.8",188,"under31",31.5,NA,NA,NA,134,12.163,7.48,0.130611226936932,"NS"
"106",20,2019-04-17,141,"4.6",162,"under31",33,NA,9.93,NA,125,10.208,8.404,0.808246505003593,"NS"
"107",20,2019-06-05,190,"6.2",113,"under31",37.9,37.5,8.261,NA,138,13.544,8.535,1.45856698993486,"NS"
"108",20,2019-07-04,219,"7.2",84,"under31",37.8,36.5,9.715,NA,160,9.922,7.705,1.9446752549227,"NS"
"109",20,2019-07-30,245,"8.0",58,"under31",38.6,37.1,9.273,9.4410225,133,14.952,10.705,1.0546593525738,"NS"
"110",20,2019-08-14,260,"8.5",43,"under31",32.1,36.6,NA,NA,134,NA,6.621,0.0693743294435372,"NS"
"111",20,2019-09-03,280,"9.2",23,"above31",38.2,38.2,6.619,NA,123,226.791,7.767,-1.89875071825035,"S"
"112",20,2019-09-17,294,"9.5",9,"above31",22.6,32.6,NA,NA,34,NA,194.239,-9.18840610905115,"S"
"113",21,2019-03-01,94,"3.1",153,"under31",25.7,NA,NA,NA,124,8.884,6.803,-1.26037832573301,"S"
"114",21,2019-03-22,115,"3.8",132,"under31",26.7,NA,NA,NA,124,9.203,5.811,-1.0901115056919,"NS"
"115",21,2019-04-17,141,"4.6",106,"under31",29.2,NA,5.5,NA,127,8.51,7.218,-0.324453887671394,"NS"
"116",21,2019-06-05,190,"6.2",57,"under31",34.8,37.5,6.044,NA,147,11.972,7.738,1.00472818895221,"NS"
"117",21,2019-07-04,219,"7.2",28,"above31",34.6,36.8,2.246,2.31504,136,9.497,9.351,-1.04605159669229,"NS"
"118",21,2019-07-30,245,"8.0",2,"above31",25.7,NA,NA,NA,30,60.071,39.206,-6.58821457843671,"S"
"119",22,2019-03-01,94,"3.1",277,"under31",27.4,NA,NA,NA,157,11.689,6.516,0.549252087960842,"NS"
"120",22,2019-03-22,115,"3.8",256,"under31",26.4,NA,NA,NA,160,8.523,5.076,0.575086687155576,"NS"
"121",22,2019-04-17,141,"4.6",230,"under31",30.5,NA,3.72,NA,152,11.749,7.724,0.350627312393557,"NS"
"122",22,2019-06-05,190,"6.2",181,"under31",32.6,NA,7.956,15.8685975,154,20.325,7.689,1.77445541946559,"NS"
"123",22,2019-07-04,219,"7.2",152,"under31",32.1,37,7.545,NA,134,13.993,7.895,0.538616065421144,"NS"
"124",22,2019-07-30,245,"8.0",126,"under31",32.6,36.4,6.458,10.75158,153,32.304,16.093,0.252882419228184,"NS"
"125",22,2019-08-14,260,"8.5",111,"under31",30.1,36.8,NA,NA,123,NA,6.548,-0.631207512780853,"NS"
"126",22,2019-09-03,280,"9.2",91,"under31",33.2,38.1,7.102,9.9057,143,9.109,7.861,0.897620450057448,"NS"
"127",22,2019-09-17,294,"9.5",77,"under31",32,37.9,NA,NA,153,NA,6.674,1.22792374845523,"NS"
"128",22,2019-10-04,311,"10.1",60,"under31",34.3,36.8,7.377,10.33977,153,12.502,9.057,0.853222614690407,"NS"
"129",22,2019-10-22,329,"10.7",42,"under31",32.1,37.9,NA,NA,135,NA,7.2,0.509835068131606,"NS"
