"","mice_name","date_expe","mice","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P1","P3","Dim.1","STATUS","P5","sample_name_vero"
"1","AKRJ_F_1",2019-03-22,1,122,3.8,88,"under31",29.3,NA,NA,NA,163,10.47,7.128,1.15859709887917,"NS",NA,NA
"2","AKRJ_F_11",2019-04-17,11,148,4.6,98,"under31",39.8,NA,7.612,10.968615,153,11.181,6.68,1.50727979166022,"NS",NA,NA
"3","AKRJ_F_16",2019-11-18,16,356,11.6,28,"above31",32.1,37.7,NA,NA,127,NA,13.47,0.042228871805702,"NS",NA,NA
"4","AKRJ_F_17",2019-08-14,17,260,8.5,47,"under31",26.9,36.6,NA,NA,146,NA,7.578,-0.289818866684513,"NS",NA,NA
"5","AKRJ_F_19",2019-08-14,19,260,8.5,47,"under31",28.6,36.9,NA,NA,150,NA,7.471,0.239094009830942,"NS",NA,NA
"6","AKRJ_F_2",2019-07-04,2,226,7.2,61,"under31",30.9,37.2,4.384,NA,134,10,7.59,-0.0406844574198953,"NS",NA,NA
"7","AKRJ_F_20",2019-07-30,20,245,8,58,"under31",38.6,37.1,9.273,9.4410225,133,14.952,10.705,1.0546593525738,"NS",NA,NA
"8","AKRJ_F_25",2019-07-30,25,245,8,47,"under31",29.9,37.6,8.18,NA,113,10.824,7.043,0.237714631667719,"NS",NA,NA
"9","AKRJ_F_26",2019-12-03,26,371,12,45,"under31",28.7,38.1,NA,NA,110,13.816,6.678,-0.586103791710745,"NS",NA,NA
"10","AKRJ_F_29",2019-07-04,29,219,7.2,64,"under31",34.2,38.5,9.634,10.66254,143,10.552,7.057,1.53615632689713,"NS",NA,NA
"11","AKRJ_F_31",2020-01-08,31,400,13.2,57,"under31",36.7,35.5,10.82,NA,141,13.084,6.842,1.21177609656052,"NS",NA,NA
"12","AKRJ_F_32",2019-10-31,32,331,11,33,"under31",40.1,37.2,12.905,17.44071,144,11.4,8.901,2.86316140658059,"NS",NA,NA
"13","AKRJ_F_33",2019-12-03,33,364,12,47,"under31",37.1,37.7,NA,NA,134,12.822,7.577,1.36488241745706,"NS",NA,NA
"14","AKRJ_F_34",2019-09-03,34,273,9.2,44,"under31",29.7,37.2,4.809,16.29432,115,9.511,6.726,0.2616856410365,"NS",NA,NA
"15","AKRJ_F_36",2019-11-18,36,349,11.6,45,"under31",27.4,37.7,NA,NA,147,NA,7.566,0.175589489150917,"NS",NA,NA
"16","AKRJ_F_37",2019-08-14,37,253,8.5,67,"under31",31.3,36.1,NA,NA,134,NA,8.137,-0.235076184049569,"NS",NA,NA
"17","AKRJ_F_39",2020-01-08,39,400,13.2,64,"under31",27.7,36.6,4.38,NA,118,15.223,7.087,-0.985147230156523,"NS",NA,NA
"18","AKRJ_F_40",2019-07-30,40,238,8,38,"under31",31.9,36.9,8.597,19.66671,133,13.716,18.53,1.46528486612535,"NS",NA,NA
"19","AKRJ_F_41",2019-10-22,41,322,10.7,42,"under31",28.8,35.9,NA,NA,124,NA,6.961,-1.08625879436777,"NS",NA,NA
"20","AKRJ_F_42",2019-09-03,42,273,9.2,49,"under31",36.9,37.3,8.708,NA,133,12.701,8.305,1.27968705174796,"NS",NA,NA
"21","AKRJ_F_43",2019-04-17,43,134,4.6,89,"under31",36.4,NA,5.8,11.469465,149,26.741,7.781,0.860580754683673,"NS",NA,NA
"22","AKRJ_F_44",2019-09-03,44,273,9.2,39,"under31",41.2,36.8,10.817,10.69593,131,15.367,9.702,1.50959044247424,"NS",NA,NA
"23","AKRJ_F_45",2019-12-03,45,364,12,100,"under31",31.5,38.2,NA,NA,127,17.963,10.951,0.317631232842928,"NS",NA,NA
"24","AKRJ_F_46",2019-07-30,46,238,8,62,"under31",33.9,36.3,9.952,18.23094,121,11.01,6.726,1.41897748099266,"NS",NA,NA
"25","AKRJ_F_48",2019-03-22,48,108,3.8,98,"under31",25.3,NA,NA,NA,131,9.515,6.65,-1.00265578600211,"NS",NA,NA
"26","AKRJ_F_50",2019-03-22,50,108,3.8,88,"under31",30.3,NA,NA,NA,163,10.076,8.961,1.31497206746081,"NS",NA,NA
"27","AKRJ_F_8",2019-07-04,8,226,7.2,53,"under31",38.4,36.7,10.585,NA,129,10.612,7.283,1.49522010180698,"NS",NA,NA
"28","C57_F_10",2022-06-03,10,974,31.9,45,"above60",25.15,36.7,1.895,12.55464,141,NA,NA,-0.904370419467689,"NS",21.618,NA
"29","C57_F_12",2022-08-16,12,1048,34.4,64,"under60",25,36.8,2.174,10.00587,164,NA,NA,-0.850663584594718,"NS",19.911,NA
"30","C57_F_14",2022-08-16,14,1048,34.4,42,"above60",26.86,36.8,3.005,15.07002,159,NA,NA,0.260732075866669,"NS",37.448,NA
"31","C57_F_16",2022-06-20,16,991,32.5,35,"above60",28.17,36.3,3.016,13.45617,134,NA,NA,-0.538018739176634,"NS",30.467,NA
"32","C57_F_17",2022-02-15,17,866,28.4,49,"above60",27.37,36.8,3.567,14.04606,138,NA,NA,-0.217921878626489,"NS",16.785,NA
"33","C57_F_18",2021-12-14,18,803,26.3,83,"under60",22.81,37.7,1.707,10.92966,147,NA,NA,-0.961629594563751,"NS",19.377,NA
"34","C57_F_20",2022-02-01,20,852,27.9,192,"under60",24.08,35.8,2.442,11.04096,136,NA,NA,-1.63841054639851,"NS",12.124,NA
"35","C57_F_21",2021-11-03,21,762,25,75,"under60",21.58,37.9,2.507,9.6831,161,NA,NA,-0.813738348685931,"NS",30.67,NA
"36","C57_F_22",2022-08-16,22,1048,34.4,53,"above60",23.7,37,2.277,11.98701,147,NA,NA,-0.8338456887806,"NS",33.531,NA
"37","C57_F_26",2021-10-12,26,740,24.3,43,"above60",29.26,37,3.166,NA,123,NA,NA,-0.747844745186001,"NS",39.303,NA
"38","C57_F_28",2022-03-29,28,908,29.8,66,"under60",26.75,36.4,2.534,12.99984,137,NA,NA,-0.728534885064766,"NS",32.991,NA
