"","mice","date_expe","BW","BT","EEDm","EENm","EREDm","FAT","FIDs","FINs","GLY","LEAN","P0","P1","P3","P5","RERDm","RERNm","STATUS","VCO2Dm","VCO2Nm","VO2Dm","VO2Nm","WIDs","WINs","XYDm","XYNm","ZDs","ZNs","DOB","DOD","AGE","REMAINTIME","XYTOTs","ZTOTs","XYZTOTs","XYZDs","XYZNs","XYDs","XYNs","RERTOTm","EETOTs","EEDs","EENs","FIDKCALs","FINKCALs","FITOTKCALs","WITOTs","EB","FAOX","FATPROP","LEANPROP"
"1",1,2021-07-23,33.6,37.4,0.520909722222222,0.610777777777778,0.499655092592593,8.74,1.29333333333333,4.08333333333333,190,19.795,3.616,183.477,72.74,44.355,0.854631944444444,0.997979166666667,"ISOLATED",91.2777777777778,120.972222222222,106.555555555556,121.041666666667,0.636666666666667,2.15333333333333,2011.47222222222,7496.88888888889,7588.66666666667,20631.3333333333,2019-10-03,2022-07-04,659,-346,114100.333333333,28220,142320.333333333,31726.3333333333,110594,24137.6666666667,89962.6666666667,0.926305555555555,13.58025,6.25091666666667,7.32933333333333,4.31844,13.63425,17.95269,2.79,4.37244,3.33596326388889,26.0119047619048,58.9136904761905
"2",1,2021-08-27,35.26,37.1,0.539847222222222,0.607520833333333,0.514982323232323,10.66,1.57333333333333,3.62,204,19.158,3.568,309.436,157.655,109.511,0.859131944444445,1.0030625,"ISOLATED",94.9722222222222,120.736111111111,110.333333333333,120.215277777778,0.71,1.94333333333333,2387.16666666667,6468.08333333333,8176.66666666667,19151.3333333333,2019-10-03,2022-07-04,694,-311,106263,27328,133591,36822.6666666667,96768.3333333333,28646,77617,0.931097222222222,13.7684166666667,6.47816666666667,7.29025,5.25336,12.08718,17.34054,2.65333333333333,3.57212333333334,3.16227384645062,30.2325581395349,54.3335224049915
"3",1,2021-09-21,36.45,36.8,0.54759375,0.6385625,0.535565972222222,12.436,1.235,4.185,177,18.946,6.955,175.176,67.787,69.415,0.887072916666667,1.0330625,"ISOLATED",98.8020833333333,129.90625,111.208333333333,125.625,0.420000000000001,2.105,2324.20833333333,7336.79166666667,7142.5,21079.5,2019-10-03,2022-07-04,719,-286,115932,28222,144154,35033,109121,27890.5,88041.5,0.960067708333333,14.233875,6.571125,7.66275,4.123665,13.973715,18.09738,2.525,3.863505,1.89463749348958,34.1179698216735,51.9780521262003
"4",1,2021-10-12,35.76,35.9,0.52934375,0.6229375,0.510037878787879,11.387,0.750000000000001,3.495,189,19.345,4.479,185.539,68.708,53.64,0.80165625,0.996208333333333,"ISOLATED",88.0520833333333,123.197916666667,109.65625,123.489583333333,0.405,1.995,2565.58333333333,7673.375,7934,23012,2019-10-03,2022-07-04,740,-265,122867.5,30946,153813.5,38721,115092.5,30787,92080.5,0.898932291666667,13.827375,6.352125,7.47525,2.50425,11.669805,14.174055,2.4,0.346680000000001,4.65833701171875,31.842841163311,54.0967561521253
"5",1,2021-11-03,35.74,38.1,0.534583333333333,0.62103125,0.509708333333333,10.756,1.18,3.86,203,19.594,5.402,100.065,44.226,45.773,0.857416666666667,1.01479166666667,"ISOLATED",93.8333333333333,124.541666666667,109.291666666667,122.645833333333,0.53,2.095,2134.625,7124.875,7748,19701.5,2019-10-03,2022-07-04,762,-243,111114,27449.5,138563.5,33363.5,105200,25615.5,85498.5,0.936104166666667,13.867375,6.415,7.452375,3.94002,12.88854,16.82856,2.625,2.961185,2.95355827256944,30.0951315053162,54.82372691662
"6",1,2021-11-23,35.61,36.9,0.547322916666667,0.639447916666667,0.523397727272727,10.581,1.285,4.025,194,20.947,3.889,111.779,50.182,37.101,0.85225,1.0278125,"ISOLATED",95.6979166666667,129.541666666667,112.072916666667,125.916666666667,0.505,2.35,1682.33333333333,6879.625,6870.5,18686,2019-10-03,2022-07-04,782,-223,102743.5,25556.5,128300,27058.5,101241.5,20188,82555.5,0.94003125,14.24125,6.567875,7.673375,4.290615,13.439475,17.73009,2.855,3.48884,2.84676653645834,29.7135636057287,58.8233642235327
"7",1,2021-12-14,34.68,37.2,0.527489583333333,0.62725,0.501878787878788,9.204,0.765000000000001,4.145,172,21.226,4.315,153.27,50.42,37.625,0.844770833333333,1.03532291666667,"ISOLATED",91.5833333333333,127.71875,108.114583333333,123.34375,0.31,2.5,2688.95833333333,7747.91666666667,7318.5,20942.5,2019-10-03,2022-07-04,803,-202,125242.5,28261,153503.5,39586,113917.5,32267.5,92975,0.940046875,13.856875,6.329875,7.527,2.554335,13.840155,16.39449,2.81,2.537615,2.76920986328126,26.5397923875433,61.2053056516724
"8",1,2022-01-04,35.33,36.1,0.548875,0.641197916666667,0.533902777777778,10.574,1.42,3.985,182,20.299,3.818,179.133,48.972,45.68,0.831572916666667,1.02267708333333,"ISOLATED",94.0416666666667,129.385416666667,112.927083333333,126.385416666667,0.66,2.21,2819.5,7498.45833333333,8564.5,20455.5,2019-10-03,2022-07-04,824,-181,123815.5,29020,152835.5,42398.5,110437,33834,89981.5,0.927125,14.280875,6.5865,7.694375,4.74138,13.305915,18.047295,2.87,3.76642,3.46906255208334,29.9292386074158,57.4554203226719
"9",1,2022-02-01,34.44,37,0.403065972222222,0.500916666666667,0.397465277777778,8.623,1.38333333333333,2.985,170,20.568,3.691,281.492,95.566,48.601,0.836603135746528,1.02532698975,"ISOLATED",94.5520833333333,130.041666666667,112.892361111111,126.78125,0.86,2.04,3328.44444444444,8084.79166666667,10271.5,25466.5,2019-10-03,2022-07-04,852,-153,136958.833333333,35738,172696.833333333,50212.8333333333,122484,39941.3333333333,97017.5,0.930965062748264,10.8477916666667,4.83679166666667,6.011,4.61895,9.966915,14.585865,2.9,3.73807333333333,2.49625539009413,25.0377468060395,59.7212543554007
"10",1,2022-02-15,32.54,36.8,0.54184375,0.616090277777778,0.523079166666667,6.185,1.34666666666667,4.32,172,21.571,4.977,153.738,44.964,22.774,0.799332175925926,1.01952083333333,"ISOLATED",89.962962962963,124.083333333333,112.238425925926,121.527777777778,0.695,2.48,3369.94444444444,8844.44444444444,8767.5,25307.3333333333,2019-10-03,2022-07-04,866,-139,146572.666666667,34074.8333333333,180647.5,49206.8333333333,131440.666666667,40439.3333333333,106133.333333333,0.90942650462963,13.8952083333333,6.502125,7.39308333333333,4.49652,14.42448,18.921,3.175,5.02579166666667,4.19512529216499,19.0073755377996,66.2907191149355
"11",1,2022-03-08,31.75,36.8,0.5951875,0.673697916666667,0.535095238095238,4.767,2,5.8,156,21.761,4.011,84.954,49,37.13,0.856051037333334,1.03802671134375,"ISOLATED",104.760416666667,137.604166666667,121.708333333333,132.385416666667,0.83,2.96,2870.04166666667,5826.45833333333,9140.5,19263.5,2019-10-03,2022-07-04,887,-118,104358,28404,132762,43581,89181,34440.5,69917.5,0.947038874338542,15.226625,7.14225,8.084375,6.678,19.3662,26.0442,3.79,10.817575,2.688064000083,15.0141732283465,68.5385826771654
"12",1,2022-03-29,30.76,37,0.607263888888889,0.70628125,0.5805,1.129,2.73,5.15,135,24.222,5.201,112.029,54.017,29.815,0.844318849372047,0.980215081921017,"ISOLATED",105.625,138.0625,124.46875,140.5,1.41,3,2714.83333333333,5265.70833333333,10454.5,19782,2019-10-03,2022-07-04,908,-97,95766.5,30236.5,126003,43032.5,82970.5,32578,63188.5,0.912266965646532,15.7625416666667,7.28716666666667,8.475375,9.11547,17.19585,26.31132,4.41,10.5487783333333,4.60965203179879,3.6703511053316,78.7451235370611
