"","mice","date_expe","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P5","Dim.1","STATUS"
"1",1,2021-07-23,659,"21.6",346,"under60",33.6,37.4,8.74,13.63425,190,44.355,2.351258584512,"NS"
"2",1,2021-08-27,694,"22.8",311,"under60",35.26,37.1,10.66,12.08718,204,109.511,2.86871740317191,"NS"
"3",1,2021-09-21,719,"23.6",286,"under60",36.45,36.8,12.436,13.973715,177,69.415,2.84568129981653,"NS"
"4",1,2021-10-12,740,"24.3",265,"under60",35.76,35.9,11.387,11.669805,189,53.64,2.07702868815566,"NS"
"5",1,2021-11-03,762,"25.0",243,"under60",35.74,38.1,10.756,12.88854,203,45.773,3.24113306007116,"NS"
"6",1,2021-11-23,782,"25.6",223,"under60",35.61,36.9,10.581,13.439475,194,37.101,2.65722034222602,"NS"
"7",1,2021-12-14,803,"26.3",202,"under60",34.68,37.2,9.204,13.840155,172,37.625,2.13989328300824,"NS"
"8",1,2022-01-04,824,"27.0",181,"under60",35.33,36.1,10.574,13.305915,182,45.68,2.11171460382302,"NS"
"9",1,2022-02-01,852,"27.9",153,"under60",34.44,37,8.623,9.966915,170,48.601,1.30424251509909,"NS"
"10",1,2022-02-15,866,"28.4",139,"under60",32.54,36.8,6.185,14.42448,172,22.774,1.38788206771712,"NS"
"11",1,2022-03-08,887,"29.1",118,"under60",31.75,36.8,4.767,19.3662,156,37.13,1.67218256982356,"NS"
"12",1,2022-03-29,908,"29.8",97,"under60",30.76,37,1.129,17.19585,135,29.815,0.347367971825502,"NS"
"13",1,2022-04-22,932,"30.6",73,"under60",32.54,36.5,0.57,18.33111,120,57.398,0.250411858644354,"NS"
"14",1,2022-05-12,952,"31.2",53,"above60",35.8,37.2,0,22.989015,101,58.022,1.18767831240273,"NS"
"15",1,2022-06-03,974,"31.9",31,"above60",38.2,35.6,0,16.89534,125,36.741,0.194520519680817,"NS"
"16",1,2022-06-20,991,"32.5",14,"above60",42.28,36.1,0,16.978815,93,40.747,0.232488870613254,"NS"
"17",2,2021-07-23,659,"21.6",304,"under60",31.89,37.5,7.287,12.75498,149,28.681,1.06348770391489,"NS"
"18",2,2021-08-27,694,"22.8",269,"under60",31.88,37.7,7.152,12.28752,192,56.41,1.90299823053632,"NS"
"19",2,2021-09-21,719,"23.6",244,"under60",34.32,37.3,8.73,9.61632,173,114.564,1.60137045408207,"NS"
"20",2,2021-10-12,740,"24.3",223,"under60",34.22,37,9.078,9.332505,182,49.745,1.46555275535041,"NS"
"21",2,2021-11-03,762,"25.0",201,"under60",34.78,37.7,9.415,10.91853,183,38.797,2.0848326469013,"NS"
"22",2,2021-11-23,782,"25.6",181,"under60",33.52,37.2,9.195,11.536245,172,43.091,1.65297434335524,"NS"
"23",2,2021-12-14,803,"26.3",160,"under60",33.42,37.1,8.852,11.08548,178,42.897,1.58917310755224,"NS"
"24",2,2022-01-04,824,"27.0",139,"under60",34.3,37.4,9.368,10.017,176,43.006,1.65113578196128,"NS"
"25",2,2022-02-01,852,"27.9",111,"under60",32.52,37.4,7.629,10.234035,162,43.553,0.998696638298086,"NS"
"26",2,2022-02-15,866,"28.4",97,"under60",32.24,36.5,7.231,11.15226,162,25.112,0.677308101297666,"NS"
"27",2,2022-03-08,887,"29.1",76,"under60",31.83,37.1,6.536,9.08208,155,43.938,0.337920968612391,"NS"
"28",2,2022-03-29,908,"29.8",55,"above60",30.19,36.7,3.185,12.95532,145,33.878,-0.0333664366956155,"NS"
"29",2,2022-04-22,932,"30.6",31,"above60",29.62,37.2,1.02,11.235735,109,40.937,-1.14635459072221,"NS"
"30",2,2022-05-12,952,"31.2",11,"above60",32.9,37.5,0,7.629615,93,86.137,-1.62049055747811,"NS"
"31",3,2021-07-23,659,"21.6",157,"under60",26.21,37.6,3.487,10.06152,182,17.572,0.0942316681032968,"NS"
"32",3,2021-08-27,694,"22.8",122,"under60",25.82,37.5,2.913,12.52125,175,32.622,0.257845435693665,"NS"
"33",3,2021-09-21,719,"23.6",97,"under60",26.31,37.1,2.418,12.75498,145,35.931,-0.41478459573201,"NS"
"34",3,2021-10-12,740,"24.3",76,"under60",28.31,37,1.599,9.566235,180,27.107,-0.287781477440276,"NS"
"35",3,2021-11-03,762,"25.0",54,"above60",30.89,37.4,0.105,10.71819,149,96.045,-0.278737683146995,"NS"
"36",3,2021-11-23,782,"25.6",34,"above60",32.99,36.7,0.105,8.898435,136,38.849,-1.03022069137472,"NS"
"37",3,2021-12-14,803,"26.3",13,"above60",32.86,36.2,0,10.000305,65,49.348,-2.32969485146026,"S"
"38",4,2021-07-23,659,"21.6",228,"under60",37.54,36.8,11.542,11.94249,135,86.828,1.76698531212702,"NS"
"39",4,2021-08-27,694,"22.8",193,"under60",41.9,36.8,15.795,14.68047,157,55.837,3.60146361107988,"NS"
"40",4,2021-09-21,719,"23.6",168,"under60",44.78,36.9,19.233,12.6882,148,98.115,4.05514500605402,"NS"
"41",4,2021-10-12,740,"24.3",147,"under60",45.08,36.8,17.83,10.65141,163,54.258,3.653608669323,"NS"
"42",4,2021-11-03,762,"25.0",125,"under60",41.73,37,14.525,12.05379,139,44.119,2.67298004406723,"NS"
"43",4,2021-11-23,782,"25.6",105,"under60",41.08,36.9,15.407,11.569635,145,52.624,2.75235380405351,"NS"
"44",4,2021-12-14,803,"26.3",84,"under60",42.1,37.4,15.74,13.806765,156,46.189,3.64661786214952,"NS"
"45",4,2022-01-04,824,"27.0",63,"under60",42.56,37,15.492,10.601325,145,33.36,2.73568353701543,"NS"
"46",4,2022-02-01,852,"27.9",35,"above60",38.32,36.1,10.959,11.51955,140,41.643,1.39258996401996,"NS"
"47",4,2022-02-15,866,"28.4",21,"above60",37.21,36.3,8.835,4.79703,151,43.913,0.13043799971929,"NS"
"48",4,2022-03-08,887,"29.1",0,"above60",33.73,37,4.764,NA,NA,NA,0.751707957403404,"NS"
"49",5,2021-07-23,659,"21.6",131,"under60",24.42,36.6,2.795,8.39202,161,31.553,-1.1838985311748,"NS"
"50",5,2021-08-27,694,"22.8",96,"under60",22.91,36.8,2.547,10.3509,175,40.909,-0.68892100545388,"NS"
"51",5,2021-09-21,719,"23.6",71,"under60",24.3,37.3,3.781,9.21564,162,47.439,-0.589697190719576,"NS"
"52",5,2021-10-12,740,"24.3",50,"above60",22.53,37.1,2.275,9.24903,175,32.068,-0.863558135613804,"NS"
"53",5,2021-11-03,762,"25.0",28,"above60",18.72,37.1,1.043,8.397585,114,26.682,-2.69965753742682,"S"
