"","mice","date_expe","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P5","Dim.1","STATUS"
"1",1,2021-02-17,760,"24.9",292,"under31",33.7,34.8,6.52,13.0098909465,162,16.461,1.9154128141595,"NS"
"2",1,2021-02-23,766,"25.1",286,"under31",35.1,36.8,6.92,NA,208,NA,4.07013257639793,"NS"
"3",1,2021-03-11,782,"25.6",270,"under31",34.7,36.2,7.31,9.6774854715,176,22.474,2.33625296378366,"NS"
"4",1,2021-03-23,794,"26.0",258,"under31",33.7,36.6,6.85,NA,180,NA,2.63736374474554,"NS"
"5",1,2021-04-07,809,"26.5",243,"under31",35,36.9,7.76,NA,186,24.652,3.14217252650338,"NS"
"6",1,2021-04-20,822,"27.0",230,"under31",34.38,36.3,6.62,NA,178,NA,2.47918595443807,"NS"
"7",1,2021-05-04,836,"27.4",216,"under31",33.2,37.5,5.61,8.3202954975,157,23.836,1.10923917400443,"NS"
"8",1,2021-05-18,850,"27.9",202,"under31",32.9,37.2,5.48,NA,172,19.821,1.64876946645327,"NS"
"9",1,2021-06-01,864,"28.3",188,"under31",33.43,36.6,5.45,11.9052428985,161,22.68,1.80076493944999,"NS"
"10",1,2021-06-15,878,"28.8",174,"under31",33.86,37.5,5.84,NA,151,24.875,1.36509625265174,"NS"
"11",1,2021-06-30,893,"29.3",159,"under31",35.1,36.7,5.64,10.1652966765,146,NA,1.34585923213348,"NS"
"12",1,2021-07-13,906,"29.7",146,"under31",33.81,36.3,5.51,NA,140,NA,0.423837924437684,"NS"
"13",1,2021-07-28,921,"30.2",131,"under31",34.04,37,5.37,11.1836349135,140,NA,1.33383494587029,"NS"
"14",1,2021-08-11,935,"30.7",117,"under31",33.95,36.2,5.31,NA,153,NA,0.917520347684693,"NS"
"15",1,2021-08-24,948,"31.1",104,"under31",33,37.2,NA,13.500121257,181,NA,3.12012894346064,"NS"
"16",1,2021-09-07,962,"31.5",90,"under31",32.1,36.8,NA,NA,150,NA,0.487778714923951,"NS"
"17",1,2021-09-23,978,"32.1",74,"under31",32.1,36.9,NA,11.728306506,150,NA,1.21253101649798,"NS"
"18",1,2021-10-05,990,"32.5",62,"under31",33.1,36.2,NA,NA,160,NA,1.01319015768117,"NS"
"19",1,2021-10-18,1003,"32.9",49,"under31",31.6,36.3,NA,8.109025281,135,NA,-0.654651530593796,"NS"
"20",1,2021-11-02,1018,"33.4",34,"under31",32.3,36.5,3.59,NA,147,NA,0.0210856727214307,"NS"
"21",1,2021-11-18,1034,"33.9",18,"above31",31.27,36.4,2.85,5.5043565255,126,NA,-2.10686232563444,"S"
"22",1,2021-12-01,1047,"34.3",5,"above31",31.7,33.5,2.05,NA,138,NA,-1.62380249890546,"NS"
"23",2,2021-02-17,760,"24.9",214,"under31",29.5,34.4,2.69,11.1093187905,131,22.572,-1.32017791436394,"NS"
"24",2,2021-02-23,766,"25.1",208,"under31",30.5,37,3.75,NA,164,NA,0.739195562420557,"NS"
"25",2,2021-03-11,782,"25.6",192,"under31",30.4,35.5,3.36,9.715441554,140,16.383,-0.787890041970878,"NS"
"26",2,2021-03-23,794,"26.0",180,"under31",29.6,35.2,3.44,NA,153,NA,-0.357178729428714,"NS"
"27",2,2021-04-07,809,"26.5",165,"under31",30.1,37,3.51,NA,153,32.117,0.097615542300675,"NS"
"28",2,2021-04-20,822,"27.0",152,"under31",29.78,36.4,3.52,NA,158,NA,0.188953303391218,"NS"
"29",2,2021-05-04,836,"27.4",138,"under31",30.52,37.2,3.41,13.2344720865,163,56.072,1.52236514144959,"NS"
"30",2,2021-05-18,850,"27.9",124,"under31",30.48,36.8,3.6,NA,139,48.021,-0.117118748831127,"NS"
"31",2,2021-06-01,864,"28.3",110,"under31",30.32,36.4,3.24,10.8833319315,138,60.167,-0.0324198401986043,"NS"
"32",2,2021-06-15,878,"28.8",96,"under31",30.94,36.9,3.26,NA,125,53.242,-0.53248089470866,"NS"
"33",2,2021-06-30,893,"29.3",81,"under31",31.2,36.4,3.64,9.9011684205,141,NA,-0.0984493909256463,"NS"
