"variable","me_used_akrj_f","me_used_c57","me_used_c57_m","me_used_c57_f","akrj_f_no_me","akrj_f_me","c57_no_me","c57_me","c57_m_no_me","c57_m_me","c57_f_no_me","c57_f_me"
"BT","FALSE","TRUE","FALSE",FALSE,"-23.76","-30.01","-328, -12","-21.44","-14.08","-255, -11.65","-23.32","-28.51"
"BW","FALSE","TRUE","TRUE",TRUE,"-25.54","-229.99, -27.43","-265","-205.77, -18.71","No BP","-188.98, -22.19","-234.01","-199.99"
"EB","FALSE","TRUE","FALSE",FALSE,"-43.84","-43.06","No BP","No BP","No BP","No BP","No BP","No BP"
"EEDm","FALSE","TRUE","conv_error",FALSE,"-34.77","-39.54","-15.1","-15.1","No BP","conv_error","-16","-313.95, -16.01"
"EEDs","FALSE","conv_error","FALSE",FALSE,"-34.77","-41.47","-15.1","-310.6, -15.1","No BP","No BP","-15.99","-313.81, -16.01"
"EENm","FALSE","TRUE","conv_error",FALSE,"-35.12","-39.07","-268, -15.1","-57, -15.1","No BP","conv_error","-269, -17.85","-17.64"
"EENs","FALSE","TRUE","FALSE",FALSE,"-35.11","-39.07","-264, -15.1","-15.1","No BP","No BP","-269.01, -17.83","-17.64"
"EETOTs","FALSE","TRUE","FALSE",FALSE,"-34.86","-39.13","-268, -15.1","-271.57, -15.1","No BP","No BP","-307.03, -16.06","-313.01, -16"
"EREDm","FALSE","TRUE","conv_error",FALSE,"-34.84","-41.69","-264, -16","-18","No BP","conv_error","-268.26, -18","-249.43, -18"
"FAOX","FALSE","TRUE","FALSE",FALSE,"No BP","No BP","No BP","conv_error","No BP","No BP","No BP","No BP"
"FAT","TRUE","TRUE","FALSE",TRUE,"-38.65","-44.39","-263.31, -63","-200, -61.17","-20.99","-64.12","-210.18, -61.99","-199.99, -61.99"
"FATPROP","TRUE","TRUE","FALSE",TRUE,"-39.01","-43.55","-263.53, -63","-200.46, -62","-31.43","-53.95","-243.01, -66.81","-199.99, -62.02"
"FIDKCALs","FALSE","TRUE","FALSE",FALSE,"No BP","-43.99","No BP","-177","No BP","No BP","No BP","No BP"
"FIDs","FALSE","TRUE","FALSE",FALSE,"No BP","No BP","No BP","-177","No BP","No BP","No BP","No BP"
"FINKCALs","FALSE","TRUE","FALSE",FALSE,"-37.24","-35.67","-31","-30.47","-26.99","-26.99","-30.98","-34.72"
"FINs","FALSE","TRUE","FALSE",FALSE,"-37.24","-35.12","-31","-30.47","-27","-27.02","-32.99","-31.01"
"FITOTKCALs","FALSE","TRUE","FALSE",FALSE,"-40","-37.15","-30.39","-36.28","No BP","No BP","-37.99","-36.25"
"GLY","FALSE","TRUE","FALSE",FALSE,"-72.49, -21","-28","-328, -24.39","-328, -29.7","-31.46","-143.55, -29.99","-339, -24.1","-339, -26.84"
"LEAN","FALSE","TRUE","TRUE",TRUE,"No BP","No BP","-110.36","-93","No BP","No BP","-93.02","-99.75"
"LEANPROP","FALSE","TRUE","FALSE",TRUE,"-34","-191.01, -36.57","-263.69, -80","-199.66, -67.29","-23.01","-80.99","-210.99, -74.83","-196.02, -65"
"P0","TRUE","TRUE","FALSE",TRUE,"-12.99","-12.99","No BP","No BP","-11.99","-37.01","No BP","No BP"
