"","mice","date_expe","BW","BT","EEDm","EENm","EREDm","FAT","FATPROP","FIDs","FINs","GLY","LEAN","LEANPROP","P0","P1","P3","RERDm","RERNm","STATUS","VCO2Dm","VCO2Nm","VO2Dm","VO2Nm","WIDs","WINs","XYDm","XYNm","ZDs","ZNs","DOB","DOD","AGE","REMAINTIME","XYTOTs","ZTOTs","XYZTOTs","XYZDs","XYZNs","XYDs","XYNs","RERTOTm","EETOTs","EEDs","EENs","FIDKCALs","FINKCALs","FITOTKCALs","WITOTs","EB","FAOX"
"1",1,2019-03-01,28.4,NA,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,3.206,11.611,7.09,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-06-18,101,-109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,2019-03-22,29.3,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,3.721,10.47,7.128,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-06-18,122,-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,2019-04-17,32.6,NA,NA,NA,NA,8.49,28.019801980198,NA,NA,136,19.72,65.0825082508251,3.523,10.602,7.987,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-06-18,148,-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,2019-06-05,31.9,35.2,0.244,0.265,0.34474537037037,2.126,9.1244635193133,0.019,0.02,113,19.4,83.2618025751073,3.699,11.563,23.699,0.739,0.752,"GROUPED",37.854,41.651,41.651,55.458,0.033,0.0175,728.721,819.542,56.35,307.5,2018-11-20,2019-06-18,197,-13,18579.156,363.85,18943.006,8801.002,10142.004,8744.652,9834.504,0.7455,6.108,2.928,3.18,0.063441,0.06678,0.130221,0.0505,-5.977779,5.18162
"5",2,2019-03-01,26.7,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,3.258,9.973,5.419,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-09-03,101,-186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2,2019-03-22,27.59,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,3.93,10.129,7.448,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-09-03,122,-165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2,2019-04-17,28.3,NA,NA,NA,NA,5.02,19.3076923076923,NA,NA,133,18.71,71.9615384615385,3.648,9.659,6.711,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-09-03,148,-139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2,2019-06-05,28.9,37.7,NA,NA,NA,4.813,17.3129496402878,NA,NA,144,20.792,74.7913669064748,3.587,10.562,8.217,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-09-03,197,-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2,2019-07-04,30.9,37.2,NA,NA,NA,4.384,16.0586080586081,NA,NA,134,20.848,76.3663003663004,3.895,10,7.59,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-09-03,226,-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2,2019-07-30,31.7,37.2,0.521479166666667,0.592944444444444,0.502902777777778,2.565,8.66554054054054,0.383333333333333,3.37333333333333,137,23.105,78.0574324324324,3.793,12.461,7.045,0.811215277777778,0.952576388888889,"GROUPED",87.4930555555556,113.145833333333,113.145833333333,118.652777777778,0.0433333333333354,8.26666666666667,534.833333333333,1330.77777777778,395,2295.66666666667,2018-11-20,2019-09-03,252,-35,22387.3333333333,2690.66666666667,25078,6813,18265,6418,15969.3333333333,0.881895833333333,13.3730833333333,6.25775,7.11533333333333,1.27995,11.26356,12.54351,8.31,-0.829573333333336,5.26472287615741
"11",2,2019-08-14,27,35.9,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,3.637,NA,7.333,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-09-03,267,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2,2019-09-03,23.7,33.8,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,6.713,NA,NA,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-09-03,287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3,2019-03-01,26.8,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,3.184,7.316,6.067,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,101,-251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",3,2019-03-22,30.4,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,4.145,11.191,6.77,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,122,-230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",3,2019-04-17,33.3,NA,NA,NA,NA,9.94,32.3778501628665,NA,NA,157,18.37,59.8371335504886,3.69,11.631,8.281,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,148,-204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",3,2019-06-05,34.2,36,0.521,0.568,0.502300925925926,7.531,23.534375,0.196666666666665,3.16666666666667,129,20.834,65.10625,4.138,10.885,8.369,0.833,0.94,"GROUPED",89.347,107.424,107.424,114.076,0.110000000000001,2.59666666666667,646.75,1470.472,814.25,4815.75,2018-11-20,2019-11-07,197,-155,25406.664,5630,31036.664,8575.25,22461.414,7761,17645.664,0.8865,13.068,6.252,6.816,0.656669999999996,10.5735,11.23017,2.70666666666667,-1.83783,4.94406
"17",3,2019-07-04,36.4,38.1,0.538829861111111,0.629465277777778,0.508204545454546,9.636,28.7641791044776,0.719166666666667,4.27,141,21.656,64.644776119403,3.692,12.458,9.045,0.869953125,0.985708333333334,"GROUPED",95.7951388888889,123.402777777778,123.402777777778,125.090277777778,0.136666666666667,3.77,683.097222222222,1903.27777777778,1216.75,8673,2018-11-20,2019-11-07,226,-126,31036.5,9889.75,40926.25,9413.91666666667,31512.3333333333,8197.16666666667,22839.3333333333,0.927830729166667,14.0195416666667,6.46595833333333,7.55358333333333,2.4012975,14.25753,16.6588275,3.90666666666667,2.63928583333333,3.37260033166956
"18",3,2019-07-30,37.2,37,NA,NA,NA,12.53,34.6132596685083,NA,NA,157,20.62,56.9613259668508,4.061,15.074,7.785,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,252,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",3,2019-08-14,34.8,36.6,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,4.2,NA,6.507,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,267,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
