"","mice","date_expe","BW","BT","EEDm","EENm","EREDm","FAT","FIDs","FINs","GLY","LEAN","P0","P1","P3","P5","RERDm","RERNm","STATUS","VCO2Dm","VCO2Nm","VO2Dm","VO2Nm","WIDs","WINs","XYDs","XYNs","ZDs","ZNs","DOB","DOD","AGE","REMAINTIME","XYTOTs","ZTOTs","XYZTOTs","XYZDs","XYZNs","RERTOTm","EETOTs","EEDs","EENs","FIDKCALs","FINKCALs","FITOTKCALs","WITOTs","EB","FAOX","FATPROP","LEANPROP"
"1",1,2021-02-17,33.7,34.8,0.385646341666667,0.484684005208333,0.364264408333333,6.52,0.996860499999999,3.8963435,162,25.07,3.662,49.24,27.593,16.461,0.887841059027778,0.946676955208333,"ISOLATED",69.7017418958333,92.01503,78.2938905208333,97.1619825,0.836942166666666,2.56298,17014,40038.5,2454.33333333333,6002,2019-01-19,2021-12-06,760,-292,57052.5,8456.33333333333,65508.8333333333,19468.3333333333,46040.5,0.917259007118056,10.4439641625,4.6277561,5.8162080625,3.3285172095,13.0098909465,16.338408156,3.39992216666667,5.8944439935,2.88047988142899,19.3471810089021,74.3916913946587
"2",1,2021-02-23,35.1,36.8,NA,NA,NA,6.92,NA,NA,208,25.38,NA,NA,NA,NA,NA,NA,"ISOLATED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-19,2021-12-06,766,-286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7150997150997,72.3076923076923
"3",1,2021-03-11,34.7,36.2,0.465317871759259,0.562030247916667,0.42944204,7.31,0.9133225,2.8983185,176,24.5,3.637,87.178,31.296,22.474,0.812767511458333,0.910235713541667,"ISOLATED",78.4292372986111,103.45366875,96.0606750694444,113.577895625,0.572679499999999,2.72222,20256,49313.5,2992.83333333333,8835.5,2019-01-19,2021-12-06,782,-270,69569.5,11828.3333333333,81397.8333333333,23248.8333333333,58149,0.8615016125,12.3281774361111,5.58381446111111,6.744362975,3.0495838275,9.6774854715,12.727069299,3.2948995,0.39889186288889,5.69144231905091,21.0662824207493,70.6051873198847
"4",1,2021-03-23,33.7,36.6,NA,NA,NA,6.85,NA,NA,180,24.23,NA,NA,NA,NA,NA,NA,"ISOLATED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-19,2021-12-06,794,-258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.326409495549,71.8991097922849
"5",1,2021-04-07,35,36.9,0.45458315,0.568529203125,0.404700301388889,7.76,NA,NA,186,24.31,3.772,132.561,47.654,24.652,0.825006163541667,0.934557708333333,"ISOLATED",77.529416625,106.86817625,93.589346875,114.268710625,NA,NA,18473.5,48524,2568,8133.5,2019-01-19,2021-12-06,809,-243,66997.5,10701.5,77699,21041.5,56657.5,0.8797819359375,12.2773482375,5.4549978,6.8223504375,NA,NA,NA,NA,NA,4.91986345644466,22.1714285714286,69.4571428571429
"6",1,2021-04-20,34.38,36.3,NA,NA,NA,6.62,NA,NA,178,24.97,NA,NA,NA,NA,NA,NA,"ISOLATED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-19,2021-12-06,822,-230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2553810354857,72.6294357184409
"7",1,2021-05-04,33.2,37.5,0.386570737847222,0.517361908333333,0.331403216666667,5.61,0.651722833333333,2.4918525,157,24.91,3.495,40.512,38.391,23.836,0.827778186458333,0.934891030208333,"ISOLATED",66.1723599166667,97.218521875,79.5189322916667,103.993463125,0.617341833333333,2.5991275,21527.3333333333,49213.5,2734.5,7894.5,2019-01-19,2021-12-06,836,-216,70740.8333333333,10629,81369.8333333333,24261.8333333333,57108,0.881334608333333,10.8471917541667,4.63884885416667,6.2083429,2.1761025405,8.3202954975,10.496398038,3.21646933333333,-0.350793716166667,4.29062085997209,16.8975903614458,75.0301204819277
"8",1,2021-05-18,32.9,37.2,NA,NA,NA,5.48,NA,NA,172,25.04,4.18,54.398,35.722,19.821,NA,NA,"ISOLATED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-19,2021-12-06,850,-202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6565349544073,76.1094224924012
"9",1,2021-06-01,33.43,36.6,0.372978579166667,0.500427914583333,0.313360922222222,5.45,1.231555,3.5655115,161,25.24,3.556,159.512,53.747,22.68,0.909298333333333,1.00097956666667,"ISOLATED",68.7490764375,99.177011875,75.3468904375,99.146951875,0.911497,2.8635435,19681,43559.5,2096,7518,2019-01-19,2021-12-06,864,-188,63240.5,9614,72854.5,21777,51077.5,0.95513895,10.480877925,4.47574295,6.005134975,4.112162145,11.9052428985,16.0174050435,3.7750405,5.5365271185,1.56727729545774,16.3027221058929,75.501046963805
"10",1,2021-06-15,33.86,37.5,NA,NA,NA,5.84,NA,NA,151,25.98,3.608,119.204,46.281,24.875,NA,NA,"ISOLATED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-19,2021-12-06,878,-174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2474896633196,76.7277023036031
